Days DY

Symptom SYM

Advice ADC

Diagnosis DIA 

Stop STP

stop STP

. DOT

Patient USER

id TAG

I W

Me W

My W

Myself W

We W

Our W

Ours W

Ourselves W

You W

You'Re W

You'Ve W

You'Ll W

You'D W

Your W

Yours W

Yourself W

Yourselves W

He W

Him W

His W

Himself W

She W

She'S W

Her W

Hers W

Herself W

It W

It'S W

Its W

Itself W

They W

Them W

Their W

Theirs W

Themselves W

What W

Which W

Who W

Whom W

This W

That W

That'Ll W

These W

Those W

Am W

Is W

Are W

Was W

Were W

Be W

Been W

Being W

Have W

Has W

Had W

Having W

Do W

Does W

Did W

Doing W

A W

An W

The W

And W

But W

If W

Or W

Because W

As W

Until W

While W

Of W

At W

By W

For W

With W

About W

Against W

Between W

Into W

Through W

During W

Above W

Below W

To W

From W

Up W

Down W

In W

Out W

On W

Off W

Over W

Under W

Again W

Further W

Then W

Once W

Here W

There W

When W

Where W

Why W

How W

All W

Any W

Both W

Each W

Few W

More W

Most W

Other W

Some W

Such W

No W

Nor W

Not W

Only W

Own W

Same W

So W

Than W

Too W

Very W

S W

T W

Can W

Will W

Just W

Don W

Don'T W

Should W

Should'Ve W

Now W

D W

Ll W

M W

O W

Re W

Ve W

Y W

Ain W

Aren W

Aren'T W

Couldn W

Couldn'T W

Didn W

Didn'T W

Doesn W

Doesn'T W

Hadn W

Hadn'T W

Hasn W

Hasn'T W

Haven W

Haven'T W

Isn W

Isn'T W

Ma W

Mightn W

Mightn'T W

Mustn W

Mustn'T W

Needn W

Needn'T W

Shan W

Shan'T W

Shouldn W

Shouldn'T W

Wasn W

Wasn'T W

Weren W

Weren'T W

Won W

Take MED

Won'T W

Wouldn W

Wouldn'T W


Pratik FNAME

Tanush FNAME

Sarita FNAME

Aditi FNAME

Ritika FNAME

Himani FNAME

Yash FNAME

Nachiket FNAME

Chinmay FNAME

Sangat FNAME

Kavita FNAME

Sairaj FNAME

Sanyukta FNAME

Aditya FNAME

Vishal FNAME

Shweta FNAME

Surya FNAME

